GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
burger-app,org.example,Main,27,0,2,0,5,0,3,0,2,0
burger-app,praktikum,Bun,15,0,0,0,6,0,3,0,3,0
burger-app,praktikum,IngredientType,0,24,0,0,0,3,0,1,0,1
burger-app,praktikum,Burger,0,133,0,4,0,23,0,9,0,7
burger-app,praktikum,Database,106,0,0,0,15,0,3,0,3,0
burger-app,praktikum,Ingredient,21,0,0,0,8,0,4,0,4,0
burger-app,praktikum,Praktikum,59,0,0,0,14,0,2,0,2,0
